시군구별,연료별,용도별,승용,화물,승합,데이터기준일자
목포시,전기,비사업용,332,23,0,2021-08-31
목포시,전기,사업용,34,2,,2021-08-31
여수시,전기,비사업용,752,178,,2021-08-31
여수시,전기,사업용,13,22,,2021-08-31
순천시,전기,비사업용,1298,136,,2021-08-31
순천시,전기,사업용,20,12,,2021-08-31
나주시,전기,비사업용,940,123,,2021-08-31
나주시,전기,사업용,4,3,4,2021-08-31
광양시,전기,비사업용,513,130,,2021-08-31
광양시,전기,사업용,24,6,7,2021-08-31
담양군,전기,비사업용,106,47,,2021-08-31
담양군,전기,사업용,,9,4,2021-08-31
곡성군,전기,비사업용,60,37,,2021-08-31
곡성군,전기,사업용,,3,,2021-08-31
구례군,전기,비사업용,57,4,,2021-08-31
구례군,전기,사업용,,,,2021-08-31
고흥군,전기,비사업용,104,26,,2021-08-31
고흥군,전기,사업용,1,1,,2021-08-31
보성군,전기,비사업용,51,11,,2021-08-31
보성군,전기,사업용,2,,,2021-08-31
화순군,전기,비사업용,134,11,,2021-08-31
화순군,전기,사업용,2,3,,2021-08-31
장흥군,전기,비사업용,95,26,,2021-08-31
장흥군,전기,사업용,,1,,2021-08-31
강진군,전기,비사업용,50,17,,2021-08-31
강진군,전기,사업용,1,2,,2021-08-31
해남군,전기,비사업용,103,42,1,2021-08-31
해남군,전기,사업용,,3,,2021-08-31
영암군,전기,비사업용,152,40,,2021-08-31
영암군,전기,사업용,,,,2021-08-31
무안군,전기,비사업용,242,52,,2021-08-31
무안군,전기,사업용,,2,,2021-08-31
함평군,전기,비사업용,60,14,,2021-08-31
함평군,전기,사업용,4,,,2021-08-31
영광군,전기,비사업용,554,42,,2021-08-31
영광군,전기,사업용,0,2,,2021-08-31
장성군,전기,비사업용,117,46,,2021-08-31
장성군,전기,사업용,,5,,2021-08-31
완도군,전기,비사업용,87,30,,2021-08-31
완도군,전기,사업용,1,1,,2021-08-31
진도군,전기,비사업용,34,18,,2021-08-31
진도군,전기,사업용,,,,2021-08-31
신안군,전기,비사업용,53,26,,2021-08-31
신안군,전기,사업용,42,3,,2021-08-31
