통계기준년월,읍면동,차종,계,비사업용 소계,비사업용 경형,비사업용 소형,비사업용 중형,비사업용 대형,사업용 소계,사업용 경형,사업용 소형,사업용 중형,사업용 대형,테이터기준일자
2021-09,충주시,승용,92131,87351,11171,1528,51663,22989,4780,436,0,2421,1923,2021-09-30
2021-09,충주시,승합,3761,3339,180,103,2934,122,422,0,0,152,270,2021-09-30
2021-09,충주시,화물,21225,19568,297,16124,2211,936,1657,2,475,286,894,2021-09-30
2021-09,충주시,특수,612,329,0,228,71,30,283,0,60,63,160,2021-09-30
2021-09,성내동,승용,184,184,22,4,102,56,0,0,0,0,0,2021-09-30
2021-09,성내동,승합,9,9,0,1,8,0,0,0,0,0,0,2021-09-30
2021-09,성내동,화물,52,46,3,36,7,0,6,0,1,2,3,2021-09-30
2021-09,성내동,특수,2,2,0,1,1,0,0,0,0,0,0,2021-09-30
2021-09,성남동,승용,286,284,42,7,167,68,2,0,0,1,1,2021-09-30
2021-09,성남동,승합,3,3,1,1,1,0,0,0,0,0,0,2021-09-30
2021-09,성남동,화물,60,57,3,47,5,2,3,0,2,1,0,2021-09-30
2021-09,성남동,특수,2,1,0,1,0,0,1,0,0,0,1,2021-09-30
2021-09,성서동,승용,251,238,34,7,139,58,13,1,0,12,0,2021-09-30
2021-09,성서동,승합,10,10,0,2,7,1,0,0,0,0,0,2021-09-30
2021-09,성서동,화물,42,38,1,34,2,1,4,0,3,0,1,2021-09-30
2021-09,성서동,특수,1,1,0,1,0,0,0,0,0,0,0,2021-09-30
2021-09,충인동,승용,118,118,21,2,64,31,0,0,0,0,0,2021-09-30
2021-09,충인동,승합,7,7,0,2,5,0,0,0,0,0,0,2021-09-30
2021-09,충인동,화물,27,27,0,21,3,3,0,0,0,0,0,2021-09-30
2021-09,교현동,승용,7972,7834,1068,178,4678,1910,138,1,0,109,28,2021-09-30
2021-09,교현동,승합,337,333,13,8,295,17,4,0,0,4,0,2021-09-30
2021-09,교현동,화물,1700,1566,28,1336,154,48,134,0,56,26,52,2021-09-30
2021-09,교현동,특수,37,14,0,11,2,1,23,0,6,5,12,2021-09-30
2021-09,용산동,승용,6128,6039,863,109,3567,1500,89,0,0,72,17,2021-09-30
2021-09,용산동,승합,216,214,9,5,194,6,2,0,0,2,0,2021-09-30
2021-09,용산동,화물,936,849,11,704,88,46,87,1,38,12,36,2021-09-30
2021-09,용산동,특수,26,11,0,11,0,0,15,0,5,5,5,2021-09-30
2021-09,호암동,승용,7849,7798,1063,101,4580,2054,51,0,0,43,8,2021-09-30
2021-09,호암동,승합,240,240,17,6,208,9,0,0,0,0,0,2021-09-30
2021-09,호암동,화물,1019,937,14,786,93,44,82,0,33,16,33,2021-09-30
2021-09,호암동,특수,40,15,0,11,3,1,25,0,6,8,11,2021-09-30
2021-09,직동,승용,150,149,20,0,92,37,1,0,0,1,0,2021-09-30
2021-09,직동,승합,11,11,1,0,10,0,0,0,0,0,0,2021-09-30
2021-09,직동,화물,61,60,0,51,5,4,1,0,0,0,1,2021-09-30
